# This file contains all data for the mysql table named Cronometer_Food_Mapping
#
#+----------------------+--------------+------+-----+---------+----------------+
#| Field                | Type         | Null | Key | Default | Extra          |
#+----------------------+--------------+------+-----+---------+----------------+
#| cronometer_food_id   | int unsigned | NO   | PRI | NULL    | auto_increment |
#| cronometer_food_name | varchar(100) | NO   |     | NULL    |                |
#| food_id              | int unsigned | NO   | MUL | NULL    |                |
#+----------------------+--------------+------+-----+---------+----------------+
#
# It is used to initialize the Cronometer food mapping data (567 cronometer foods mapped to 93 foods sourced from clark-food and poores-food)
# | used as delimiter as commas are common in cronometer food names
# food_id is the a foreign key to Food
# food_name is not an actual column, just for clarity
# format: cronometer_food_name|food_id|food_name
Ale|636|Ale
Almond Butter, Unsalted|637|Almond butter
Almond Butter, Salted|637|Almond butter
Almond Milk, Plain, Original, Unsweetened|638|Almond milk
Almond Milk, Plain, Original, Sweetened|638|Almond milk
Almond milk, plain or original, unsweetened, refrigerated|638|Almond milk
Almond Breeze Almond Milk Original|638|Almond milk
Almond Breeze Almond Milk Original Unsweetened|638|Almond milk
Silk Almond Milk Original|638|Almond milk
Silk Almond Milk Unsweet|638|Almond milk
Silk Almond Milk Organic Original|638|Almond milk
Almonds, Raw|639|Almonds
Almonds, Blanched|639|Almonds
Almonds, Dry Roasted, Salted|639|Almonds
Almonds, Dry Roasted, Unsalted|639|Almonds
Apple Juice or Cider, Not Fortified|640|Apple juice
Apple Juice or Cider, Fortified with Vitamin C|640|Apple juice
Apple Juice or Cider, Fortified with Vitamin C and Calcium|640|Apple juice
Apple & Eve, Apple Juice|640|Apple juice
Arby's apple juice|640|Apple juice
Appletiser, Apple Juice|640|Apple juice
Apple & Eve, 100% Juice, Apple|640|Apple juice
Gerber, Apple Juice|640|Apple juice
Apple & Eve, 100% Juice, Apple Juice|640|Apple juice
Applebee's, Kid's Apple Juice|640|Apple juice
Apple, Fresh, Without Skin|641|Apples
Apple, Dried, Uncooked|641|Apples
Apple, Canned, Unsweetened|641|Apples
Apples, Raw, Gala, with Skin|641|Apples
Rose Apple, Fresh|641|Apples
Mammy Apple, Fresh|641|Apples
Apples, Raw, Fuji, with Skin|641|Apples
Apples, Raw, Granny Smith, with Skin|641|Apples
Apples, Raw, with Skin|641|Apples
Asparagus, Cooked from Fresh|642|Asparagus
Asparagus, Raw|642|Asparagus
Asparagus, Cooked, Boiled, Drained|642|Asparagus
HEB, Asparagus|642|Asparagus
Asda, Asparagus|642|Asparagus
Coop, Asparagus|642|Asparagus
Lidl, Asparagus|642|Asparagus
Alter, Asparagus|642|Asparagus
Tesco, Asparagus|642|Asparagus
Asda, Asparagus Tips|642|Asparagus
Coop, Asparagus Tips|642|Asparagus
Majesty, Asparagus|642|Asparagus
Oaklands, Asparagus|642|Asparagus
Waitrose, Asparagus|642|Asparagus
Tesco, Asparagus Tips|642|Asparagus
Coles, Asparagus Spears|642|Asparagus
Avocado, Black Skin|643|Avocados
Avocado, green skin|643|Avocados
