# This file contains all data for the mysql table named Food
#
#| Field          | Type         | Null | Key | Default | Extra          |
#+----------------+--------------+------+-----+---------+----------------+
#| food_id        | int unsigned | NO   | PRI | NULL    | auto_increment |
#| name           | varchar(100) | NO   |     | NULL    |                |
#| category       | varchar(100) | NO   |     | NULL    |                |
#| emissions      | decimal(6,2) | NO   |     | NULL    |                |
#| water_use      | decimal(6,2) | NO   |     | NULL    |                |
#| land_use       | decimal(6,2) | NO   |     | NULL    |                |
#| eutrophication | decimal(6,2) | NO   |     | NULL    |                |
#+----------------+--------------+------+-----+---------+----------------+
#
# It is used to initialize the Food data
# format: name,category,emissions (CO2 eq / kg),water_use (L / kg),land_use (m2 / kg),eutrophication (PO4 eq / kg)
# Entity,Category,Emissions,Water Use,Land Use,Eutrophication
Ale,Alcohol,0.49,49.4,0.81,1.63
Almond butter,Butter and Alternatives,0.39,6846.47,7.68,18.72
Almond milk,Milk and Alternatives,0.66,1246.97,1.37,4.15
Almonds,Protein Foods,0.6,6413.31,8.23,18.6
Apple juice,Beverages,0.46,122.32,0.66,1.91
Apples,Fruit,0.51,90.33,0.67,1.21
Asparagus,Vegetables,0.93,310.51,1.4,4
Avocados,Vegetables,0.92,367.41,1.25,2.67
Bacon,Protein Foods,19.31,1649.71,42.33,87.75
Bananas,Fruit,0.87,52.05,2.64,3.46
Beans,Protein Foods,1.37,0.08,17.07,10.77
Beef,Protein Foods,95.03,2493.95,295.25,428.69
Beer,Alcohol,0.69,122.42,0.83,2.82
Beetroot,Vegetables,2.66,11.21,4.09,8.86
Brazil nuts,Protein Foods,2.51,3270.8,12.81,19.62
Bread,Grains,0.88,241.91,2.24,6.02
Breakfast cereal,Grains,1.49,502.1,2.9,9.51
Broccoli,Vegetables,0.9,224.9,1,5.1
Butter,Butter and Alternatives,3.32,271.56,3.62,10.51
Cabbage,Vegetables,0.89,131.31,0.8,6.2
Capsicum,Vegetables,0.92,362.93,1.24,2.67
Carrots,Vegetables,0.94,14.93,1.6,5.89
Cashews,Protein Foods,2.09,3504.34,11.72,19.29
