# food impact data from Joseph Poore and Thomas Nemecek (2018).
Apples,Fruit,0.43,180.1,0.63,1.45
Bananas,Fruit,0.86,114.5,1.93,3.29
Beef,ProteinFoods,99.48,1451.2,326.21,301.41
Berries & Grapes,Fruit,1.53,419.6,2.41,6.12
Brassicas,Vegetables,0.51,119.4,0.55,5.01
Cassava,Vegetables,1.32,0,1.81,0.69
Cheese,Dairy and Alternatives,23.88,5605.2,87.79,98.37
Citrus Fruit,Fruit,0.39,82.7,0.86,2.24
Coffee,Beverages,28.53,25.9,21.62,110.52
Dark Chocolate,Deserts,46.65,540.6,68.96,87.08
Eggs,ProteinFoods,4.67,577.7,6.27,21.76
Fish,ProteinFoods,13.63,3691.3,8.41,235.12
Groundnuts,ProteinFoods,3.23,1852.3,9.11,14.14
Lamb & Mutton,ProteinFoods,39.72,1802.8,369.81,97.13
Corn,Vegetables,1.7,215.7,2.94,4.03
Milk,Dairy and Alternatives,3.15,628.2,8.95,10.65
Nuts,ProteinFoods,0.43,4133.8,12.96,19.15
Oats,Grains,2.48,482.4,7.6,11.23
Onions & Leeks,Vegetables,0.5,14.3,0.39,3.24
Other Fruit,Fruit,1.05,153.5,0.89,2.43
Other Pulses,ProteinFoods,1.79,435.7,15.57,17.08
Other Vegetables,Vegetables,0.53,102.5,0.38,2.27
Peas,Vegetables,0.98,396.6,7.46,7.52
Pig Meat,ProteinFoods,12.31,1795.8,17.36,76.38
Potatoes,Vegetables,0.46,59.1,0.88,3.48
Poultry Meat,ProteinFoods,9.87,660,12.22,48.7
Prawns (farmed),ProteinFoods,26.87,3515.4,2.97,227.22
Rice,Grains,4.45,2248.4,2.8,35.07
Root Vegetables,Vegetables,0.43,28.4,0.33,1.61
Soy milk,Dairy and Alternatives,0.98,27.8,0.66,1.06
Tofu,ProteinFoods,3.16,148.6,3.52,6.16
Tomatoes,Vegetables,2.09,369.8,0.8,7.51
Wheat & Rye,Grains,1.57,647.5,3.85,7.16
Wine,Beverages,1.79,78.9,1.78,4.57
